name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
Audius,AUDIO,"120,000,000 AUDIO","$82.24M $82,237,791",17.44%,38.57%,$0.69 ,"$10,554,254 15,400,590 AUDIO"
Dero,DERO,"10,669,243 DERO","$82.02M $82,017,892",33.64%,73.96%,$7.69 ,"$19,851,793 2,582,407 DERO"
Ampleforth Governance Token,FORTH,"7,179,954 FORTH","$81.22M $81,224,899",19.14%,32.58%,$11.31 ,"$11,158,338 986,352 FORTH"
Rocket Pool,RPL,"10,279,742 RPL","$81.25M $81,248,329",15.93%,33.85%,$7.90 ,"$1,342,631 169,873 RPL"
Cream Finance,CREAM,"616,378 CREAM","$80.88M $80,876,217",4.76%,21.85%,$131.21 ,"$5,447,566 41,517 CREAM"
OriginTrail,TRAC,"357,891,003 TRAC","$80.84M $80,836,758",7.33%,36.08%,$0.23 ,"$899,504 3,982,399 TRAC"
Alien Worlds,TLM,"914,030,370 TLM","$80.73M $80,727,965",20.87%,41.47%,$0.09 ,"$16,031,471 181,513,948 TLM"
Alchemix,ALCX,"283,673 ALCX","$79.99M $79,993,231",12.72%,57.40%,$281.99 ,"$1,768,590 6,272 ALCX"
Wrapped NXM,WNXM,"1,676,964 WNXM","$79.61M $79,607,168",9.24%,30.40%,$47.47 ,"$11,013,133 231,997 WNXM"
Gitcoin,GTC,"14,198,202 GTC","$79.11M $79,107,616",19.55%,48.25%,$5.57 ,"$25,956,174 4,658,603 GTC"
Oasis Network,ROSE,"1,500,000,000 ROSE","$78.60M $78,603,450",13.56%,29.05%,$0.05 ,"$6,892,897 131,538,070 ROSE"
SafePal,SFP,"108,166,667 SFP","$78.41M $78,405,908",18.21%,33.45%,$0.72 ,"$7,553,078 10,420,022 SFP"
Venus ETH,vETH,"2,033,994 vETH","$78.50M $78,496,508",5.43%,26.78%,$38.59 ,--
QuickSwap,QUICK,"159,753 QUICK","$77.96M $77,962,626",13.42%,9.01%,$488.02 ,"$20,971,945 42,974 QUICK"
Polymath,POLY,"618,764,165 POLY","$77.95M $77,952,560",23.29%,41.84%,$0.13 ,"$2,689,091 21,345,200 POLY"
PAC Protocol,PAC,"13,682,523,119 PAC","$77.33M $77,332,191",11.73%,26.39%,$0.01 ,"$153,427 27,146,055 PAC"
Tokenlon Network Token,LON,"25,659,365 LON","$77.18M $77,176,856",5.70%,22.01%,$3.01 ,"$18,697,159 6,216,335 LON"
